season,player_display_name,recent_team,feature,shap_value
2013,EJ Manuel,BUF,passing_yards,-0.5516271
2013,Brandon Weeden,CLE,passing_yards,-0.6003198
2013,Matt Cassel,MIN,passing_yards,-0.6003198
2013,Case Keenum,HOU,passing_yards,-0.6185977
2013,Kellen Clemens,LA,passing_yards,-0.6595815
2013,Christian Ponder,MIN,passing_yards,-0.57688695
2013,Matt Flynn,GB,passing_yards,-0.62700266
2013,LeSean McCoy,PHI,passing_yards,-0.47062644
2013,Jamaal Charles,KC,passing_yards,-0.50284827
2013,Matt Forte,CHI,passing_yards,-0.50660384
2013,Josh Gordon,CLE,passing_yards,-0.5760715
2013,Knowshon Moreno,DEN,passing_yards,-0.64043236
2013,Marshawn Lynch,SEA,passing_yards,-0.6778451
2013,Alshon Jeffery,CHI,passing_yards,-0.5813539
2013,Reggie Bush,DET,passing_yards,-0.53399026
2013,Antonio Brown,PIT,passing_yards,-0.62430334
2013,Calvin Johnson,DET,passing_yards,-0.5813539
2013,DeMarco Murray,DAL,passing_yards,-0.44598982
2013,Ryan Mathews,LAC,passing_yards,-0.5100739
2013,Adrian Peterson,MIN,passing_yards,-0.49162963
2013,Eddie Lacy,GB,passing_yards,-0.50045633
2013,Demaryius Thomas,DEN,passing_yards,-0.72574794
2013,A.J. Green,CIN,passing_yards,-0.6076672
2013,Chris Johnson,TEN,passing_yards,-0.53399026
2013,Andre Johnson,HOU,passing_yards,-0.5813539
2013,Pierre Garcon,WAS,passing_yards,-0.5760715
2013,Alfred Morris,WAS,passing_yards,-0.542817
2013,DeSean Jackson,PHI,passing_yards,-0.5933119
2013,Jordy Nelson,GB,passing_yards,-0.5813539
2013,Brandon Marshall,CHI,passing_yards,-0.5813539
2013,Eric Decker,DEN,passing_yards,-0.72574794
2013,Fred Jackson,BUF,passing_yards,-0.50132143
2013,Anquan Boldin,SF,passing_yards,-0.64132935
2013,Keenan Allen,LAC,passing_yards,-0.5813539
2013,Marques Colston,NO,passing_yards,-0.6076672
2013,Tony Gonzalez,ATL,passing_yards,-0.5813539
2013,Julius Thomas,DEN,passing_yards,-0.72574794
2013,Julian Edelman,NE,passing_yards,-0.64132935
2013,Marvin Jones,CIN,passing_yards,-0.6023848
2013,Dez Bryant,DAL,passing_yards,-0.5813539
2013,Eddie Royal,LAC,passing_yards,-0.5813539
2013,Doug Baldwin,SEA,passing_yards,-0.72574794
2013,Golden Tate,SEA,passing_yards,-0.72574794
2013,Jimmy Graham,NO,passing_yards,-0.6076672
2013,Kenny Stills,NO,passing_yards,-0.6076672
2013,Vernon Davis,SF,passing_yards,-0.64132935
2013,Timothy Wright,TB,passing_yards,-0.5813539
2013,T.Y. Hilton,IND,passing_yards,-0.6076672
2014,Aaron Rodgers,GB,passing_yards,-0.07001982
2014,Ben Roethlisberger,PIT,passing_yards,1.0054597
2014,Tony Romo,DAL,passing_yards,0.12976494
2014,Peyton Manning,DEN,passing_yards,0.0958825
2014,Tom Brady,NE,passing_yards,-0.00049253856
2014,Drew Brees,NO,passing_yards,0.8924918
2014,Andrew Luck,IND,passing_yards,-0.0027450246
2014,Philip Rivers,LAC,passing_yards,-0.22173503
2014,Matt Ryan,ATL,passing_yards,-0.081268646
2014,Joe Flacco,BAL,passing_yards,-0.0923033
2014,Eli Manning,NYG,passing_yards,-0.20419936
2014,Alex Smith,KC,passing_yards,-0.59948325
2014,Ryan Fitzpatrick,HOU,passing_yards,-0.61563385
2014,Russell Wilson,SEA,passing_yards,-0.5623904
2014,Mark Sanchez,PHI,passing_yards,-0.5110981
2014,Carson Palmer,ARI,passing_yards,-0.6521766
2014,Matthew Stafford,DET,passing_yards,-0.13973743
2014,Ryan Tannehill,MIA,passing_yards,-0.10029348
2014,Derek Anderson,CAR,passing_yards,-0.646036
2014,Kirk Cousins,WAS,passing_yards,-0.6003198
2014,Nick Foles,PHI,passing_yards,-0.6122778
